発明の名称,要約,出願番号,公開番号,applicant_main,inventor_main,year,ipc_main_group,cluster,cluster_label,umap_x,umap_y,eagle_cluster,drill_cluster,drill_cluster_label,mega_pulse_group,core_技術分類,core_課題分類,core_解決手段分類
二酸化炭素固定化装置並びに二酸化炭素固定化方法,-,特願2024-169817,特開2026-061048,['フクハラ'],[],2024.0,"['210', 'C01F11', 'B01D53']",9,"[9] 二酸化炭素, 製造, 炭酸ガス",15.415785,18.145191,-1,1,"[1] 二酸化炭素, 製造, 炭酸ガス",,二酸化炭素固定化・環境技術,温室効果ガス削減・環境対応,専用装置・プラントシステムの設計
カルシウム系炭酸化合物製造用のＣａＯ含有組成物、カルシウム系炭酸化合物の製造方法、カルシウム系炭酸化合物、無機質成形体、及び、無機質成形体のＣＯ２固定化率を上昇させる方法,-,特願2024-194014,特開2026-081778,['神島化学工業'],[],2024.0,"['C01G49', 'C04B14', 'C01F11']",-1,ノイズ / 小クラスタ,19.222675,16.85409,-1,,,リーダー (Leaders),二酸化炭素固定化・環境技術,温室効果ガス削減・環境対応,その他
ＣａＯ含有組成物、カルシウム系炭酸化合物の製造方法、カルシウム系炭酸化合物、無機質成形体、及び、無機質成形体のＣＯ２固定化率を上昇させる方法,-,特願2024-194001,特開2026-081770,['神島化学工業'],[],2024.0,"['C01G49', 'C04B14', 'C01F11']",-1,ノイズ / 小クラスタ,19.225851,16.863564,-1,,,リーダー (Leaders),二酸化炭素固定化・環境技術,温室効果ガス削減・環境対応,その他
樹脂組成物およびこれを含む成形品,-,特願2024-121185,特開2026-019541,['ＴＢＭ'],[],2024.0,"['C01F11', 'C08L23', 'C08K3']",25,"[25] 顔料, 製造, 自己結合",14.380393,12.005179,-1,,,,その他,その他,その他
カルシウム系炭酸化合物、組成物、成形板、無機質成形体、及び、カルシウム系炭酸化合物の製造方法,-,特願2025-119186,,['神島化学工業'],[],2025.0,"['B28B3', 'C01F11']",30,"[30] 炭酸カルシウム, 製造, カルシウム",19.12085,17.166328,-1,,,リーダー (Leaders),その他,その他,その他
硝酸塩の製造方法、燃焼排ガスの処理方法及び二酸化炭素の製造方法,-,特願2024-114107,特開2026-013631,['住友大阪セメント'],[],2024.0,['C01F11'],9,"[9] 二酸化炭素, 製造, 炭酸ガス",15.916892,18.384228,-1,1,"[1] 二酸化炭素, 製造, 炭酸ガス",リーダー (Leaders),その他,その他,回収・循環プロセスの構築
二酸化炭素の固定化方法及び固定化装置,-,特願2024-098990,特開2026-001556,"['国立大学法人山口大学', '前田道路']",[],2024.0,"['100', 'B09B3', 'B01D53', 'B09B101:45', 'C01F11']",9,"[9] 二酸化炭素, 製造, 炭酸ガス",15.4451475,18.136744,-1,1,"[1] 二酸化炭素, 製造, 炭酸ガス",,二酸化炭素固定化・環境技術,温室効果ガス削減・環境対応,専用装置・プラントシステムの設計
ＣａＣＯ３を含む懸濁液の製造方法およびＣａＣＯ３を含む粉体の製造方法,-,特願2024-089073,特開2025-181223,['安藤・間'],[],2024.0,"['B09B3', 'C01F11', 'C02F11']",-1,ノイズ / 小クラスタ,18.656355,17.065197,-1,,,,その他,その他,その他
炭酸カルシウムの製造装置,-,特願2024-080424,特開2025-174263,"['奈良機械製作所', '大成建設']",[],2024.0,['C01F11'],30,"[30] 炭酸カルシウム, 製造, カルシウム",18.573614,18.816978,-1,,,,炭酸塩製造・粒子制御技術;その他炭酸塩関連技術,その他,専用装置・プラントシステムの設計
階層構造を有する炭酸カルシウム／アパタイト複合体および階層構造を有する炭酸カルシウム／アパタイト複合体の製造方法,-,特願2024-077236,特開2025-171662,['白石中央研究所'],[],2024.0,['C01F11'],22,"[22] 製造, 炭酸カルシウム, 紡錘状",18.676527,15.796204,-1,,,リーダー (Leaders),炭酸塩製造・粒子制御技術;その他炭酸塩関連技術,その他,表面処理・複合化の適用;専用装置・プラントシステムの設計
セメント質硬化体に二酸化炭素を固定化する方法、粉粒体、セメント混合材、及びセメント組成物,-,特願2024-076350,特開2025-171231,['ＵＢＥ三菱セメント'],[],2024.0,"['C04B22', 'C04B40', '200', 'B01D53', 'C04B28', 'C04B14', 'C01F11']",9,"[9] 二酸化炭素, 製造, 炭酸ガス",16.04954,17.576096,-1,1,"[1] 二酸化炭素, 製造, 炭酸ガス",,二酸化炭素固定化・環境技術,温室効果ガス削減・環境対応,その他
炭酸カルシウム粒子及びその製造方法,-,特願2024-068310,特開2025-164373,"['クニヒロ', 'プロジェニサイトジャパン']",[],2024.0,['C01F11'],23,"[23] 製造, 炭酸カルシウム, 炭酸ストロンチウム",18.244638,14.754514,-1,,,,炭酸塩製造・粒子制御技術;その他炭酸塩関連技術,その他,その他
カルシウム系炭酸化合物の製造方法、ＣａＯ含有組成物、カルシウム系炭酸化合物及び無機質成形体,-,特願2025-021275,特開2025-155890,['神島化学工業'],[],2025.0,"['B01J20', 'B01D53', '240', 'C04B14', 'C01F11']",30,"[30] 炭酸カルシウム, 製造, カルシウム",19.281942,16.872648,-1,,,リーダー (Leaders),その他,その他,その他
二酸化炭素の固定化方法及び二酸化炭素の固定化装置,-,特願2024-054206,特開2025-152354,['住友大阪セメント'],[],2024.0,"['210', 'C01F11', 'B01D53']",9,"[9] 二酸化炭素, 製造, 炭酸ガス",15.401119,18.203981,-1,1,"[1] 二酸化炭素, 製造, 炭酸ガス",リーダー (Leaders),二酸化炭素固定化・環境技術,温室効果ガス削減・環境対応,専用装置・プラントシステムの設計
二酸化炭素の回収装置及び回収方法,-,特願2024-054205,特開2025-152353,['住友大阪セメント'],[],2024.0,"['130', 'C01F11', 'B01D53']",9,"[9] 二酸化炭素, 製造, 炭酸ガス",15.256579,19.03911,-1,1,"[1] 二酸化炭素, 製造, 炭酸ガス",リーダー (Leaders),その他,その他,専用装置・プラントシステムの設計
炭酸カルシウムの製造方法,-,特願2024-049221,特開2025-148884,['宇部マテリアルズ'],[],2024.0,['C01F11'],15,"[15] 炭酸カルシウム, 製造, 多面体炭酸",18.600136,20.368025,-1,,,リーダー (Leaders),炭酸塩製造・粒子制御技術;その他炭酸塩関連技術,その他,その他
単分散球状非晶質炭酸カルシウム複合体粒子及びその製造方法,-,特願2024-040856,特開2025-141094,['出光興産'],[],2024.0,['C01F11'],16,"[16] 球状炭酸, 製造, カルシウム",19.14483,13.231023,-1,,,リーダー (Leaders),炭酸塩製造・粒子制御技術;その他炭酸塩関連技術,その他,表面処理・複合化の適用
水素含有粉末およびその製造方法,-,特願2024-033278,特開2025-135431,"['キレスト', 'アッチェ', '国立大学法人長岡技術科学大学', '中部キレスト']",[],2024.0,"['C01B6', 'C01F11']",9,"[9] 二酸化炭素, 製造, 炭酸ガス",15.875329,17.337973,-1,0,"[0] 製造, 水素担持粉, 炭酸カルシウム",,その他,その他,その他
炭酸カルシウムの製造方法,-,特願2024-025950,特開2025-128928,['宇部マテリアルズ'],[],2024.0,['C01F11'],15,"[15] 炭酸カルシウム, 製造, 多面体炭酸",18.595596,20.349,-1,,,リーダー (Leaders),炭酸塩製造・粒子制御技術;その他炭酸塩関連技術,その他,その他
水酸化リチウムの製造方法,-,特願2024-024264,特開2025-127527,['ＤＯＷＡテクノロジー'],[],2024.0,"['B01D61', '101@Z', 'C22B3', 'H01M10', '500', 'C01D15', 'C22B26', 'C01F11']",10,"[10] 炭酸塩, 製造, 酸化物",14.901695,8.399314,-1,,,,その他,その他,その他
炭酸カルシウムの製造方法および炭酸カルシウム,-,特願2024-031071,特開2025-133244,['白石工業'],[],2024.0,['C01F11'],30,"[30] 炭酸カルシウム, 製造, カルシウム",18.407394,18.993052,-1,,,成熟・既存勢力 (Established),炭酸塩製造・粒子制御技術;その他炭酸塩関連技術,その他,その他
炭酸化装置,-,特願2024-020574,特開2025-124486,['北川鉄工所'],[],2024.0,"['C04B40', '100', 'B01F27', 'B01D53', 'C01F11']",-1,ノイズ / 小クラスタ,17.70813,18.78258,-1,,,,その他,その他,専用装置・プラントシステムの設計
炭酸カルシウムの製造方法,-,特願2024-011777,特開2025-117094,['大成建設'],[],2024.0,['C01F11'],15,"[15] 炭酸カルシウム, 製造, 多面体炭酸",18.605103,20.359018,-1,,,,炭酸塩製造・粒子制御技術;その他炭酸塩関連技術,その他,その他
二酸化炭素固定化方法、二酸化炭素固定化懸濁液、二酸化炭素固定化粉末、及び、二酸化炭素固定化装置,-,特願2024-009009,特開2025-114357,"['ヤマハ', '国立大学法人京都大学']",[],2024.0,"['110', 'B01D53', 'B01F25', 'B01F23', 'C01F11']",9,"[9] 二酸化炭素, 製造, 炭酸ガス",15.409625,18.132132,-1,1,"[1] 二酸化炭素, 製造, 炭酸ガス",,二酸化炭素固定化・環境技術,温室効果ガス削減・環境対応,専用装置・プラントシステムの設計
炭酸カルシウムおよび炭酸カルシウムの製造方法,-,特願2024-001133,特開2025-107743,['白石中央研究所'],[],2024.0,['C01F11'],30,"[30] 炭酸カルシウム, 製造, カルシウム",18.470043,18.784504,-1,,,リーダー (Leaders),炭酸塩製造・粒子制御技術;その他炭酸塩関連技術,その他,その他
炭酸カルシウムおよび炭酸カルシウムの製造方法,-,特願2024-001132,特開2025-107742,['白石中央研究所'],[],2024.0,['C01F11'],30,"[30] 炭酸カルシウム, 製造, カルシウム",18.51625,18.813173,-1,,,リーダー (Leaders),炭酸塩製造・粒子制御技術;その他炭酸塩関連技術,その他,その他
カルサイト型炭酸カルシウム顆粒の製造方法,-,特願2024-001131,特開2025-107741,['白石中央研究所'],[],2024.0,"['B01J13', 'C01F11']",30,"[30] 炭酸カルシウム, 製造, カルシウム",19.735317,17.923555,-1,,,リーダー (Leaders),炭酸塩製造・粒子制御技術;その他炭酸塩関連技術,その他,その他
炭酸カルシウムの製造システム、炭酸カルシウムの製造方法、炭酸ナトリウムの製造方法、酸化ケイ素含有ゲルの製造方法、コンクリート資材の処理方法、および二酸化炭素の固定化方法,-,特願2023-222732,特開2025-104722,"['ＵＢＥ三菱セメント', '国立大学法人\u3000東京大学', '住友大阪セメント']",[],2023.0,['C01F11'],9,"[9] 二酸化炭素, 製造, 炭酸ガス",16.063183,17.836214,-1,1,"[1] 二酸化炭素, 製造, 炭酸ガス",リーダー (Leaders),炭酸塩製造・粒子制御技術;二酸化炭素固定化・環境技術;その他炭酸塩関連技術,温室効果ガス削減・環境対応,専用装置・プラントシステムの設計
炭酸カルシウムの製造方法、生モルタルまたは生コンクリートの製造方法、地盤を改良する方法、地下空洞の充填方法および二酸化炭素の固定化方法,-,特願2023-222143,特開2025-104398,"['鴻池組', '白石工業']",[],2023.0,"['E02D3', '101', 'B09B3', 'C04B18', 'C04B28', 'C04B14', 'B28B11', 'C01F11']",9,"[9] 二酸化炭素, 製造, 炭酸ガス",16.039738,17.722334,-1,1,"[1] 二酸化炭素, 製造, 炭酸ガス",成熟・既存勢力 (Established),炭酸塩製造・粒子制御技術;二酸化炭素固定化・環境技術;その他炭酸塩関連技術,温室効果ガス削減・環境対応,配合・充填・抄紙プロセスの最適化
炭酸カルシウム保留率が向上したＦＣＣ、これを含むティッシュペーパー及びこの製造方法（Ｆｌｅｘｉｂｌｅ　Ｃａｌｃｉｕｍ　Ｃａｒｂｏｎａｔｅ　ｗｉｔｈ　ｉｍｐｒｏｖｅｄ　ｃａｌｃｉｕｍ　ｃａｒｂｏｎａｔｅ,-,特願2024-152319,特開2025-104228,"['クリーンナラ\u3000カンパニー\u3000リミテッド', 'テーキュアン\u3000インダストリアル\u3000カンパニー\u3000リミテッド']",[],2024.0,"['D21H15', 'D21H17', 'C01F11', 'D21H27', 'D21H11']",32,"[32] カルシウム, 製造, 吸収性",20.336279,16.357788,-1,,,,炭酸塩製造・粒子制御技術;その他炭酸塩関連技術,その他,その他
カルシウム系炭酸化合物及び無機質成形体,-,特願2024-220578,特開2025-102720,['神島化学工業'],[],2024.0,"['C04B22', 'C04B20', 'C04B28', 'C04B14', 'C01F11']",-1,ノイズ / 小クラスタ,20.127775,15.651196,-1,,,リーダー (Leaders),その他,その他,その他
カルシウム系炭酸化合物及び無機質成形体,-,特願2024-220484,特開2025-102719,['神島化学工業'],[],2024.0,"['C04B14', 'C04B28', 'C01F11', 'C04B20']",-1,ノイズ / 小クラスタ,20.134504,15.682795,-1,,,リーダー (Leaders),その他,その他,その他
被覆アルカリ土類金属炭酸塩微粒子、樹脂組成物および画像表示装置,-,特願2023-219538,特開2025-102215,['ＵＢＥ'],[],2023.0,"['C08L33', 'C01F11', 'C08L71', 'C08K3']",11,"[11] アルカリ土, 金属炭, 金属炭酸",14.455832,9.520734,-1,,,,高分子・樹脂複合材料技術;その他炭酸塩関連技術,その他,表面処理・複合化の適用;専用装置・プラントシステムの設計
炭酸カルシウム,-,特願2025-077162,特開2025-109750,['神島化学工業'],[],2025.0,"['C04B14', 'C04B28', 'C01F11']",24,"[24] 炭酸カルシウム, グリコ, カルシウム",20.1503,14.589743,-1,,,リーダー (Leaders),その他炭酸塩関連技術,その他,その他
熱及び圧力を使用しない生物学的焼結,-,特願2025-031607,特開2025-084902,['バイオメゾン・インコーポレイテッド'],[],2025.0,"['C01F11', 'C12P3', 'C12N1']",28,"[28] 石灰石, 石灰, 製造",16.671696,10.895184,-1,,,,その他,その他,その他
多孔質体の製造方法及び多孔質体,-,特願2024-194093,特開2025-083307,"['河西工業', '長瀬産業']",[],2024.0,['C01F11'],34,"[34] 製造, 貝殻, ドロマイト",16.0239,11.642987,-1,,,,その他,その他,その他
カルシウム系炭酸化合物及び無機質成形体,-,特願2023-217174,特開2025-090485,['神島化学工業'],[],2023.0,"['C04B14', 'C04B28', 'C01F11']",-1,ノイズ / 小クラスタ,20.137491,15.6649275,-1,,,リーダー (Leaders),その他,その他,その他
炭酸カルシウム結晶の製造方法,-,特願2023-176276,特開2025-066850,"['学校法人北里研究所', '日本海水', '国立大学法人\u3000東京大学', '出光興産']",[],2023.0,['C01F11'],2,"[2] 結晶, 炭酸カルシウム, アラゴナイト結晶",12.049148,7.801653,-1,,,リーダー (Leaders),炭酸塩製造・粒子制御技術;その他炭酸塩関連技術,その他,その他
ＣＯ２分離回収転化装置およびＣＯ２分離回収転化方法,-,特願2023-168497,特開2025-058515,['日立プラントサービス'],[],2023.0,"['110', '220', 'C01F11', 'B01D53']",9,"[9] 二酸化炭素, 製造, 炭酸ガス",15.306903,18.916658,-1,1,"[1] 二酸化炭素, 製造, 炭酸ガス",,その他,その他,専用装置・プラントシステムの設計
カルシウム系フィラー含有樹脂組成物、カルシウム系フィラー含有樹脂組成物の製造方法、およびカルシウム系フィラー含有樹脂製品,-,特願2023-147013,特開2025-040230,['鳴海製陶'],[],2023.0,"['C08L101', 'C01F11', 'C08K3']",-1,ノイズ / 小クラスタ,13.712747,13.00131,-1,,,,その他,その他,その他
炭酸カルシウム粒子、その製造方法、および、それを用いた充填材,-,特願2023-136127,特開2025-030643,['国立研究開発法人物質・材料研究機構'],[],2023.0,['C01F11'],23,"[23] 製造, 炭酸カルシウム, 炭酸ストロンチウム",18.04289,15.144505,-1,,,,炭酸塩製造・粒子制御技術;その他炭酸塩関連技術,その他,配合・充填・抄紙プロセスの最適化
石膏転化反応の制御方法及び炭酸カルシウムの製造方法,-,特願2023-130076,特開2025-025368,['住友大阪セメント'],[],2023.0,"['B09B3', 'C01F11']",30,"[30] 炭酸カルシウム, 製造, カルシウム",18.762232,18.345415,-1,,,リーダー (Leaders),炭酸塩製造・粒子制御技術;その他炭酸塩関連技術,その他,その他
無機質成形体用カルシウム系炭酸化合物,-,特願2024-568144,WO2025/033286,['神島化学工業'],[],2024.0,"['C04B14', 'C01F11']",-1,ノイズ / 小クラスタ,20.120962,15.671762,-1,,,リーダー (Leaders),その他,その他,その他
二酸化炭素の固定化方法及びアミノ酸水溶液,-,特願2023-124393,特開2025-020801,"['アイシン', 'アイシン・ロジテクサービス']",[],2023.0,['C01F11'],9,"[9] 二酸化炭素, 製造, 炭酸ガス",15.509298,18.287231,-1,1,"[1] 二酸化炭素, 製造, 炭酸ガス",,二酸化炭素固定化・環境技術,温室効果ガス削減・環境対応,その他
石灰泥から精製沈殿炭酸カルシウムを作製する方法背景,-,特願2024-188475,特開2025-020215,['スペシャルティ\u3000ミネラルズ\u3000（ミシガン）\u3000インコーポレーテツド'],[],2024.0,"['B01J13', 'B04C5', 'B03D101:02', 'D21C11', 'B03D103:00', 'B03B5', 'C01F11', 'B03D1']",28,"[28] 石灰石, 石灰, 製造",17.936968,11.36496,-1,,,,その他炭酸塩関連技術,その他,その他
炭酸カルシウム粉体の製造方法,-,特願2023-122422,特開2025-018583,['長岡生コンクリート'],[],2023.0,"['C04B40', 'C04B28', 'C01F11', 'C02F11']",30,"[30] 炭酸カルシウム, 製造, カルシウム",18.415878,17.297468,-1,,,,炭酸塩製造・粒子制御技術;その他炭酸塩関連技術,その他,その他
海洋成分を利用した大気中における二酸化炭素の固定化法,-,特願2023-120140,特開2025-017185,['アサノ大成基礎エンジニアリング'],[],2023.0,"['210', 'B01J19', 'B01D53', 'C01F5', 'C01F11']",9,"[9] 二酸化炭素, 製造, 炭酸ガス",15.344753,18.478565,-1,1,"[1] 二酸化炭素, 製造, 炭酸ガス",,二酸化炭素固定化・環境技術,温室効果ガス削減・環境対応,その他
高い隠ぺい性を有する炭酸カルシウムの製造方法及び製造システム,-,特願2024-198171,特開2025-013691,['住友大阪セメント'],[],2024.0,['C01F11'],-1,ノイズ / 小クラスタ,18.030773,19.318089,-1,,,リーダー (Leaders),炭酸塩製造・粒子制御技術;その他炭酸塩関連技術,その他,専用装置・プラントシステムの設計
高い隠ぺい性を有する塗料用炭酸カルシウム及び当該炭酸カルシウムを配合した高い隠ぺい性を有する塗料,-,特願2024-198156,特開2025-013690,['住友大阪セメント'],[],2024.0,"['C09D201', 'C01F11']",-1,ノイズ / 小クラスタ,12.341566,11.919483,-1,,,リーダー (Leaders),その他炭酸塩関連技術,その他,配合・充填・抄紙プロセスの最適化
二酸化炭素の固定化方法及び固定化システム並びに炭酸塩の製造方法,-,特願2023-105094,特開2025-005083,"['出光興産', '日揮ホールディングス']",[],2023.0,"['210', 'C01F11', 'B01D53']",9,"[9] 二酸化炭素, 製造, 炭酸ガス",15.679184,17.949171,-1,1,"[1] 二酸化炭素, 製造, 炭酸ガス",リーダー (Leaders),炭酸塩製造・粒子制御技術;二酸化炭素固定化・環境技術;その他炭酸塩関連技術,温室効果ガス削減・環境対応,専用装置・プラントシステムの設計
炭酸ガス固定化装置、炭酸ガスの固定化方法、コンクリートの製造方法,-,特願2023-092609,特開2024-174665,"['北川鉄工所', '鹿島建設']",[],2023.0,"['C04B40', 'B28B11', 'C01F11']",9,"[9] 二酸化炭素, 製造, 炭酸ガス",15.938506,17.71763,-1,1,"[1] 二酸化炭素, 製造, 炭酸ガス",,二酸化炭素固定化・環境技術,温室効果ガス削減・環境対応,専用装置・プラントシステムの設計
炭酸化スラリー製造システム,-,特願2024-547052,WO2024/157750,['太平洋セメント'],[],2024.0,"['210', 'C01F11', 'B01D53']",-1,ノイズ / 小クラスタ,17.80766,18.93746,-1,,,成熟・既存勢力 (Established),その他,その他,専用装置・プラントシステムの設計
炭酸カルシウムの製造方法及び製造システム,-,特願2023-085700,特開2024-168769,['出光興産'],[],2023.0,"['C01B32', 'C22B3', '101@A', 'C04B18', 'C22B7', 'C01F11']",-1,ノイズ / 小クラスタ,18.054455,19.304087,-1,,,リーダー (Leaders),炭酸塩製造・粒子制御技術;その他炭酸塩関連技術,その他,専用装置・プラントシステムの設計
二酸化炭素吸収液、二酸化炭素吸収液の製造方法、二酸化炭素吸収方法、及び二酸化炭素吸収装置,-,特願2023-082568,特開2024-165948,['セブンコーポレーション'],[],2023.0,"['110', '210', 'C01F11', 'B01D53']",9,"[9] 二酸化炭素, 製造, 炭酸ガス",15.552854,18.860395,-1,1,"[1] 二酸化炭素, 製造, 炭酸ガス",,その他,その他,専用装置・プラントシステムの設計
吸着剤および処理方法,-,特願2023-081895,特開2024-165588,['国立大学法人\u3000新潟大学'],[],2023.0,"['B01J20', 'C01F11', 'C02F1']",33,"[33] 分散剤, 吸着剤, 分散質",16.306547,10.362197,-1,,,,その他,その他,その他
炭酸ガスの固定化方法,-,特願2023-069780,特開2024-155230,['ＪＦＥスチール'],[],2023.0,"['220', 'C01F11', 'B01D53']",9,"[9] 二酸化炭素, 製造, 炭酸ガス",15.751839,18.606598,-1,1,"[1] 二酸化炭素, 製造, 炭酸ガス",,二酸化炭素固定化・環境技術,温室効果ガス削減・環境対応,その他
二酸化炭素の固定方法,-,特願2023-069077,特開2024-154873,['トヨタ自動車'],[],2023.0,"['210', 'B01D53', 'C01F5', '220', 'C01F11']",9,"[9] 二酸化炭素, 製造, 炭酸ガス",15.353597,18.389954,-1,1,"[1] 二酸化炭素, 製造, 炭酸ガス",,二酸化炭素固定化・環境技術,温室効果ガス削減・環境対応,その他
炭酸カルシウムの製造装置、該装置に用いられるパーツおよび炭酸カルシウムの製造方法,-,特願2023-068730,特開2024-154733,['ノリタケカンパニーリミテド'],[],2023.0,['C01F11'],30,"[30] 炭酸カルシウム, 製造, カルシウム",18.14024,18.865454,-1,,,,炭酸塩製造・粒子制御技術;その他炭酸塩関連技術,その他,専用装置・プラントシステムの設計
炭酸カルシウムの製造方法,-,特願2023-066234,特開2024-152191,"['公益財団法人地球環境産業技術研究機構', '太平洋セメント']",[],2023.0,"['331', '210', 'B01D53', '240', 'C01F11']",15,"[15] 炭酸カルシウム, 製造, 多面体炭酸",18.621046,20.34322,-1,,,成熟・既存勢力 (Established),炭酸塩製造・粒子制御技術;その他炭酸塩関連技術,その他,その他
炭酸カルシウムブロックの製造方法,-,特願2023-054697,特開2024-142536,"['ジーシー', 'ジーシーＲ＆Ｄ']",[],2023.0,"['A61L27', 'C01F11']",30,"[30] 炭酸カルシウム, 製造, カルシウム",20.418394,17.53718,-1,,,,炭酸塩製造・粒子制御技術;その他炭酸塩関連技術,その他,その他
医療用炭酸カルシウム組成物、および関連医療用組成物、ならびにこれらの製造方法,-,特願2024-113000,特開2024-133250,['石川\u3000邦夫'],[],2024.0,"['C01F11', 'A61L27', 'C01B25']",30,"[30] 炭酸カルシウム, 製造, カルシウム",18.903452,17.909027,-1,,,,炭酸塩製造・粒子制御技術;その他炭酸塩関連技術,その他,その他
比表面積を低下させた粉体の製造方法及び粉体製造装置,-,特願2024-077933,特開2025-172431,['日本コンクリート工業'],[],2024.0,"['110', 'C04B14', 'C01F11', 'B01D53']",-1,ノイズ / 小クラスタ,13.637223,11.220393,-1,,,,その他,その他,専用装置・プラントシステムの設計
二酸化炭素の固定化方法及び固定化システム並びに炭酸カルシウムの製造方法,-,特願2023-037836,特開2024-128978,"['学校法人北里研究所', '日本海水', '国立大学法人\u3000東京大学', '出光興産']",[],2023.0,"['110', '210', 'C01F11', 'B01D53']",9,"[9] 二酸化炭素, 製造, 炭酸ガス",15.684887,17.88985,-1,1,"[1] 二酸化炭素, 製造, 炭酸ガス",リーダー (Leaders),炭酸塩製造・粒子制御技術;二酸化炭素固定化・環境技術;その他炭酸塩関連技術,温室効果ガス削減・環境対応,専用装置・プラントシステムの設計
鉄鋼スラグ総合利用方法,-,特願2025-518875,特表2025-533803,['ユアンチュウ\u3000テクノロジー（ベイジン）カンパニー\u3000リミテッド'],[],2023.0,"['101@Z', 'C21C5', 'C22B3', 'C22B7', '101@A', 'C01F11']",29,"[29] 鉱物, 重金属, 製造",15.0856285,10.715665,-1,,,,その他,その他,その他
炭酸カルシウムの製造方法及び炭酸カルシウム,-,特願2024-005798,特開2024-108133,['神島化学工業'],[],2024.0,['C01F11'],30,"[30] 炭酸カルシウム, 製造, カルシウム",18.550934,18.899355,-1,,,リーダー (Leaders),炭酸塩製造・粒子制御技術;その他炭酸塩関連技術,その他,その他
ドロマイトの製造方法,-,特願2023-011073,特開2024-106681,['宮崎県'],[],2023.0,['C01F11'],34,"[34] 製造, 貝殻, ドロマイト",15.847901,11.4390335,-1,,,,その他,その他,その他
